1	0	5783
2	0	9433
3	0	9826
4	0	10452
5	0	16539
6	0	5805
7	0	8065
8	0	8269
9	0	8226
10	0	13457
11	0	7545
12	0	6474
13	0	6987
14	0	12936
15	0	7315
16	0	6398
17	0	7501
18	0	9502
19	0	6850
20	0	6462
21	0	6650
22	0	17022
23	0	8283
24	0	7817
25	0	6455
26	0	6849
27	0	9251
28	0	7450
29	0	5038
30	0	10139
31	0	5070
32	0	6937
33	0	9701
34	0	6529
35	0	10586
36	0	7288
37	0	10419
38	0	5893
39	0	5160
40	0	8712
41	0	10570
42	0	10532
43	0	6641
44	0	6441
45	0	8923
46	0	6566
47	0	13275
48	0	6589
49	0	7852
50	0	9505
51	0	6582
52	0	8803
53	0	10329
54	0	5934
55	0	5649
56	0	6915
57	0	9094
58	0	6702
59	0	6743
60	0	4772
61	0	11997
62	0	6764
63	0	10564
64	0	8955
65	0	9563
66	0	7163
67	0	8208
68	0	6148
69	0	5676
70	0	6487
71	0	6547
72	0	5313
73	0	6557
74	0	10276
75	0	6499
76	0	5699
77	0	4981
78	0	7784
79	0	5508
80	0	10089
81	0	9309
82	0	8969
83	0	11629
84	0	5764
85	0	16353
86	0	5470
87	0	9454
88	0	9463
89	0	14124
90	0	10493
91	0	5476
92	0	8873
93	0	7568
94	0	10309
95	0	10729
96	0	8997
97	0	7340
98	0	6683
99	0	10883
100	0	12429
